total_price,total_freight,total_items,unique_products,unique_sellers,order_month,order_day_of_week,order_hour,average_item_price,freight_ratio,items_per_seller,seller_diversity,is_weekend,is_business_hour,is_year_end,month_sin,month_cos,hour_sin,hour_cos,log_total_price,log_total_freight,items_x_price,is_late_delivery
759.0,13.08,1.0,1.0,1.0,4,6,23,759.0,0.017233201581027667,1.0,1.0,1,0,0,0.8660254037844387,-0.4999999999999998,-0.25881904510252157,0.9659258262890681,6.633318433280377,2.644755350729896,759.0,0
65.9,37.37,1.0,1.0,1.0,8,4,8,65.9,0.5670713201820939,1.0,1.0,0,0,0,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,4.203198967134183,3.647275904258861,65.9,0
10.9,12.79,1.0,1.0,1.0,5,0,8,10.9,1.173394495412844,1.0,1.0,0,0,0,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,2.4765384001174837,2.6239436918052106,10.9,0
83.9,17.84,1.0,1.0,1.0,11,2,11,83.9,0.21263408820023835,1.0,1.0,0,1,1,-0.5000000000000004,0.8660254037844384,0.258819045102521,-0.9659258262890682,4.441474093317302,2.935982269148217,83.9,1
17.9,10.96,1.0,1.0,1.0,3,3,7,17.9,0.6122905027932962,1.0,1.0,0,0,0,1.0,6.123233995736766e-17,0.9659258262890683,-0.25881904510252063,2.9391619220655967,2.481567748522486,17.9,0
99.2,18.57,1.0,1.0,1.0,6,1,9,99.2,0.1871975806451613,1.0,1.0,0,1,0,1.2246467991473532e-16,-1.0,0.7071067811865476,-0.7071067811865475,4.607168188650764,2.9739977814079848,99.2,0
160.0,12.14,1.0,1.0,1.0,8,6,11,160.0,0.075875,1.0,1.0,1,1,0,-0.8660254037844385,-0.5000000000000004,0.258819045102521,-0.9659258262890682,5.081404364984463,2.5756610130564646,160.0,0
29.9,12.69,1.0,1.0,1.0,5,2,8,29.9,0.42441471571906353,1.0,1.0,0,0,0,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,3.4307561839036995,2.6166656393003573,29.9,0
13.99,7.39,1.0,1.0,1.0,7,0,22,13.99,0.5282344531808434,1.0,1.0,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384,2.7073833121145063,2.127040520479115,13.99,1
35.0,15.35,1.0,1.0,1.0,8,4,17,35.0,0.43857142857142856,1.0,1.0,0,1,0,-0.8660254037844385,-0.5000000000000004,-0.9659258262890683,-0.25881904510252063,3.58351893845611,2.7942278973432626,35.0,0
535.9,18.5,1.0,1.0,1.0,3,3,22,535.9,0.03452136592647882,1.0,1.0,0,0,0,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384,6.2858118574285236,2.970414465569701,535.9,0
69.9,26.11,1.0,1.0,1.0,2,1,21,69.9,0.3735336194563662,1.0,1.0,0,0,0,0.8660254037844386,0.5000000000000001,-0.7071067811865477,0.7071067811865474,4.2612704335380815,3.299902663510574,69.9,0
589.9,20.0,1.0,1.0,1.0,1,5,23,589.9,0.03390405153415833,1.0,1.0,1,0,0,0.49999999999999994,0.8660254037844387,-0.25881904510252157,0.9659258262890681,6.381646798351629,3.044522437723423,589.9,0
27.3,15.1,1.0,1.0,1.0,1,5,22,27.3,0.553113553113553,1.0,1.0,1,0,0,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384,3.342861804649192,2.7788192719904172,27.3,0
235.99,17.41,1.0,1.0,1.0,7,5,15,235.99,0.07377431247086741,1.0,1.0,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.7071067811865471,-0.7071067811865479,5.468017946152108,2.9128939952449864,235.99,0
19.9,8.72,1.0,1.0,1.0,9,2,12,19.9,0.43819095477386943,1.0,1.0,0,1,0,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,3.039749158970765,2.2741856184723477,19.9,0
25.99,14.1,1.0,1.0,1.0,11,1,21,25.99,0.5425163524432475,1.0,1.0,0,0,1,-0.5000000000000004,0.8660254037844384,-0.7071067811865477,0.7071067811865474,3.2954664270299134,2.714694743820879,25.99,1
18.5,7.94,1.0,1.0,1.0,2,3,12,18.5,0.4291891891891892,1.0,1.0,0,1,0,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,2.970414465569701,2.190535589185423,18.5,0
99.8,33.08,2.0,1.0,1.0,8,2,16,49.9,0.3314629258517034,2.0,0.5,0,1,0,-0.8660254037844385,-0.5000000000000004,-0.8660254037844385,-0.5000000000000004,4.613138355637268,3.528710701961115,199.6,0
